"overall_level","overall_score","reading_score","reading_level","grammar_score","grammar_level","listening_score","listening_level","total_time_spent_on_test"
"Low Intermediate",425,155,"Low Intermediate",215,"Intermediate",55,"Low Intermediate",11.07
"High Beginner",70,10,"Beginner",40,"High Beginner",20,"High Beginner",7.92
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",6.43
"Low Intermediate",325,65,"High Beginner",165,"Low Intermediate",95,"Low Intermediate",36.33
"Beginner",20,0,"Beginner",10,"Beginner",10,"Beginner",4.98
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",1.23
"High Beginner",160,50,"High Beginner",80,"High Beginner",30,"High Beginner",10.75
"Low Intermediate",305,135,"Low Intermediate",140,"Low Intermediate",30,"High Beginner",51.88
"High Beginner",90,30,"High Beginner",30,"High Beginner",30,"High Beginner",16.37
"Beginner",40,20,"High Beginner",10,"Beginner",10,"Beginner",14.13
"Low Intermediate",460,140,"Low Intermediate",235,"Intermediate",85,"Low Intermediate",41.47
"Low Intermediate",390,180,"Intermediate",120,"Low Intermediate",90,"Low Intermediate",50.87
"High Beginner",160,40,"High Beginner",90,"High Beginner",30,"High Beginner",9.88
"Low Intermediate",285,105,"Low Intermediate",155,"Low Intermediate",25,"High Beginner",13.97
"Low Intermediate",395,115,"Low Intermediate",200,"Low Intermediate",80,"Low Intermediate",26.85
"Low Intermediate",390,100,"Low Intermediate",175,"Low Intermediate",115,"Low Intermediate",30.72
"High Beginner",90,30,"High Beginner",50,"High Beginner",10,"Beginner",9.82
"High Beginner",110,20,"High Beginner",30,"High Beginner",60,"Low Intermediate",17.5
"Low Intermediate",380,165,"Intermediate",140,"Low Intermediate",75,"Low Intermediate",47.97
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",8.92
"High Beginner",155,25,"High Beginner",90,"High Beginner",40,"High Beginner",31.93
"Low Intermediate",255,75,"Low Intermediate",145,"Low Intermediate",35,"High Beginner",17.13
"High Beginner",110,20,"High Beginner",60,"High Beginner",30,"High Beginner",9.23
"Intermediate",645,170,"Intermediate",390,"High Intermediate",85,"Low Intermediate",35.98
"Intermediate",515,250,"Intermediate",210,"Low Intermediate",55,"Low Intermediate",52.67
"Beginner",0,0,"Beginner",0,"Beginner",0,"Beginner",6.78
"Low Intermediate",215,70,"High Beginner",125,"Low Intermediate",20,"High Beginner",68.6
"Low Intermediate",405,180,"Intermediate",195,"Low Intermediate",30,"High Beginner",66.98
"High Beginner",130,40,"High Beginner",50,"High Beginner",40,"High Beginner",7.83
"Intermediate",540,250,"Intermediate",205,"Low Intermediate",85,"Low Intermediate",28.28
"Intermediate",625,285,"Intermediate",180,"Low Intermediate",160,"Intermediate",32.43
